timestamp,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,MagX,MagY,MagZ,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,labels
358263304.0,6.64,18.61,7.47,-2.43,31.9,2.47,0.23,0.23,237.0,-35.0,-35.0,-2.353766,0.2949391,0.06915566,-0.3448552,-0.01436913,-9.785996,3
358313284.0,5.58,32.145,8.18,-3.845,26.36,174.635,0.23,0.23,212.5,-134.5,-134.5,1.783252,-1.61983,0.07581963,-0.3456594,-0.00570457,-9.834684,3
358363264.0,4.52,45.68,8.89,-5.26,20.82,346.8,0.23,0.23,188.0,-234.0,-234.0,-0.7530501,-2.163296,0.05946077,-0.3090984,-0.014484,-9.867117,3
358363264.0,4.52,45.68,8.89,-5.26,20.82,346.8,0.23,0.23,188.0,-234.0,-234.0,-0.4883422,2.343399,0.0643197,-0.3043112,-0.0175544,-9.840919,3
358413660.5,1.2,59.0,9.275,-1.06,185.065,332.69,0.22,0.22,176.5,-309.5,-309.5,1.90927,1.450326,0.04999107,-0.2992376,0.00412322,-9.858066,3
358464057.0,-2.12,72.32,9.66,3.14,349.31,318.58,0.21,0.21,165.0,-385.0,-385.0,2.015968,-1.359132,0.06439161,-0.2444286,-0.03094129,-9.839464,3
358464057.0,-2.12,72.32,9.66,3.14,349.31,318.58,0.21,0.21,165.0,-385.0,-385.0,-2.430897,-0.08766291,0.0621815,-0.248137,-0.03504023,-9.806232,3
358514037.0,-6.005,79.365,4.745,16.295,313.475,297.78,0.21,0.21,184.5,-419.0,-419.0,-0.8393724,2.162372,0.05209475,-0.3228651,-0.00848919,-9.839201,3
358564017.0,-9.89,86.41,-0.17,29.45,277.64,276.98,0.21,0.21,204.0,-453.0,-453.0,-0.4862878,-2.303252,0.04620049,-0.2290348,0.01225412,-9.850389,3
358564017.0,-9.89,86.41,-0.17,29.45,277.64,276.98,0.21,0.21,204.0,-453.0,-453.0,1.749526,1.57103,0.03863983,-0.2703043,0.00669032,-9.85769,3
358613997.0,-7.63,65.59,-4.265,30.97,249.28,251.385,0.22,0.22,143.5,-326.0,-326.0,-2.359407,-0.287491,0.04442238,-0.2384221,-0.06414683,-9.796793,3
358663977.0,-5.37,44.77,-8.36,32.49,220.92,225.79,0.23,0.23,83.0,-199.0,-199.0,-0.9657976,2.113062,0.04376351,-0.2703668,-0.0009384,-9.778841,3
358663977.0,-5.37,44.77,-8.36,32.49,220.92,225.79,0.23,0.23,83.0,-199.0,-199.0,2.082809,-1.21467,0.05353076,-0.2235261,0.01530184,-9.864546,3
358713957.0,-6.3,30.835,-7.14,21.965,220.73,226.875,0.23,0.23,-49.0,-22.0,-22.0,-0.2910568,-2.328843,0.03802475,-0.2196056,0.04746716,-9.830785,3
358763937.0,-7.23,16.9,-5.92,11.44,220.54,227.96,0.23,0.23,-181.0,155.0,155.0,1.603343,1.740586,0.02647721,-0.2457171,0.04382817,-9.860271,3
358763937.0,-7.23,16.9,-5.92,11.44,220.54,227.96,0.23,0.23,-181.0,155.0,155.0,-2.365487,-0.5462645,0.03506644,-0.1886874,0.01996737,-9.824305,3
358813917.0,-7.725,11.85,-5.235,7.875,219.025,229.595,0.26,0.26,-181.0,155.0,155.0,2.192155,-1.035611,0.04261136,-0.1799539,0.02230852,-9.860807,3
358863897.0,-8.22,6.8,-4.55,4.31,217.51,231.23,0.29,0.29,-181.0,155.0,155.0,-0.00215558,-2.397707,0.03473157,-0.1409809,-0.00945657,-9.816232,3
358863897.0,-8.22,6.8,-4.55,4.31,217.51,231.23,0.29,0.29,-181.0,155.0,155.0,-1.182712,2.012056,0.03864438,-0.2003092,-0.0062064,-9.806316,3
358913877.0,-7.92,4.895,-5.24,3.1,214.88,231.975,0.29,0.29,-181.0,154.5,154.5,1.39225,1.947356,0.01991829,-0.1820097,0.01226361,-9.840109,3
358963857.0,-7.62,2.99,-5.93,1.89,212.25,232.72,0.29,0.29,-181.0,154.0,154.0,2.318814,-0.5847589,0.03558951,-0.1374781,0.02064836,-9.851723,3
358963857.0,-7.62,2.99,-5.93,1.89,212.25,232.72,0.29,0.29,-181.0,154.0,154.0,-2.235027,-0.8427199,0.0292931,-0.1383577,-0.01482765,-9.818895,3
359013837.0,-6.84,5.305,-6.775,0.945,209.31,232.455,0.285,0.285,-181.0,148.5,148.5,-1.554919,1.740859,0.03708951,-0.2001168,-0.00418256,-9.795027,3
359063817.0,-6.06,7.62,-7.62,0.0,206.37,232.19,0.28,0.28,-181.0,143.0,143.0,0.3361371,-2.339922,0.0350651,-0.08763015,0.02747886,-9.851195,3
359063817.0,-6.06,7.62,-7.62,0.0,206.37,232.19,0.28,0.28,-181.0,143.0,143.0,1.098169,2.103492,0.02030315,-0.1419781,0.01946255,-9.891562,3
359113797.0,-5.43,17.905,-8.11,-5.275,203.375,224.745,0.28,0.28,-220.0,62.5,62.5,-2.145645,-1.122109,0.02725453,-0.1044154,0.00724937,-9.900429,3
359163777.0,-4.8,28.19,-8.6,-10.55,200.38,217.3,0.28,0.28,-259.0,-18.0,-18.0,-1.508857,1.464312,0.0464353,-0.08844391,-0.00515533,-10.16867,3
359163777.0,-4.8,28.19,-8.6,-10.55,200.38,217.3,0.28,0.28,-259.0,-18.0,-18.0,2.498102,-0.6511322,0.03956077,-0.1270092,0.03340195,-10.05965,3
359213757.0,-4.66,40.89,-8.695,-10.585,197.34,202.1,0.255,0.255,-301.0,-142.5,-142.5,0.5718753,-2.843559,0.06033459,-0.08662377,-0.03723907,-10.28958,3
359263737.0,-4.52,53.59,-8.79,-10.62,194.3,186.9,0.23,0.23,-343.0,-267.0,-267.0,1.206661,1.773007,0.062468,-0.1425108,-0.01170217,-10.26104,3
359263737.0,-4.52,53.59,-8.79,-10.62,194.3,186.9,0.23,0.23,-343.0,-267.0,-267.0,-2.051572,-1.798855,0.09079915,-0.09926676,-0.03567178,-10.20013,3
359313717.0,-2.76,63.89,-9.25,-1.04,178.81,167.885,0.23,0.23,-289.5,-384.5,-384.5,2.674045,-0.8095478,0.126503,-0.1558405,0.01256156,-10.16844,3
359363697.0,-1.0,74.19,-9.71,8.54,163.32,148.87,0.23,0.23,-236.0,-502.0,-502.0,0.8028247,-2.912365,0.1941777,-0.143867,0.00280374,-10.09763,3
359363697.0,-1.0,74.19,-9.71,8.54,163.32,148.87,0.23,0.23,-236.0,-502.0,-502.0,-1.800654,0.8250911,0.1588103,-0.1135526,-0.03149536,-10.15872,3
359413677.0,3.485,71.87,-7.49,24.95,125.45,121.69,0.215,0.215,-47.0,-518.5,-518.5,0.8997791,1.760526,0.2148093,-0.1653261,-0.00932486,-10.17713,3
359463657.0,7.97,69.55,-5.27,41.36,87.58,94.51,0.2,0.2,142.0,-535.0,-535.0,-1.868988,-2.110709,0.2565672,-0.1413861,-0.01747191,-10.12381,3
359463657.0,7.97,69.55,-5.27,41.36,87.58,94.51,0.2,0.2,142.0,-535.0,-535.0,2.62548,-0.3738897,0.3008499,-0.1740776,0.01332483,-10.08652,3
359513637.0,8.235,39.57,-0.545,46.825,51.395,224.04,0.2,0.2,329.5,-365.5,-365.5,-2.028034,0.6084281,0.3409807,-0.2058966,-0.05899569,-10.14294,3
359563617.0,8.5,9.59,4.18,52.29,15.21,353.57,0.2,0.2,517.0,-196.0,-196.0,0.4417524,1.861353,0.3744268,-0.230331,-0.06171861,-10.17692,3
359563617.0,8.5,9.59,4.18,52.29,15.21,353.57,0.2,0.2,517.0,-196.0,-196.0,1.158769,-2.783036,0.3712803,-0.1821905,-0.02666438,-10.1241,3
359613597.0,6.97,3.77,5.82,37.305,184.715,340.39,0.225,0.225,394.0,-17.0,-17.0,-1.717293,-2.20979,0.3900539,-0.2180894,-0.08650094,-10.26644,3
359663577.0,5.44,-2.05,7.46,22.32,354.22,327.21,0.25,0.25,271.0,162.0,162.0,2.441282,0.2416531,0.4093461,-0.279456,-0.02165468,-10.1302,3
359663577.0,5.44,-2.05,7.46,22.32,354.22,327.21,0.25,0.25,271.0,162.0,162.0,-2.31076,0.7060978,0.4346697,-0.2557013,-0.03817125,-10.30684,3
359713557.0,3.31,-1.415,7.955,15.155,354.085,327.045,0.25,0.25,216.5,168.0,168.0,1.399692,-2.250486,0.4335769,-0.3124543,-0.04084391,-10.08819,3
359763537.0,1.18,-0.78,8.45,7.99,353.95,326.88,0.25,0.25,162.0,174.0,174.0,0.06439181,2.411058,0.4265137,-0.4451217,-0.01365609,-10.16878,3
359763537.0,1.18,-0.78,8.45,7.99,353.95,326.88,0.25,0.25,162.0,174.0,174.0,-1.366025,-2.136388,0.4144972,-0.3406041,-0.00682092,-10.17036,3
359813517.0,0.23,-0.525,8.74,5.355,353.705,326.74,0.265,0.265,162.0,174.0,174.0,2.326698,0.8358229,0.4033779,-0.4327585,0.02460246,-10.09195,3
359863497.0,-0.72,-0.27,9.03,2.72,353.46,326.6,0.28,0.28,162.0,174.0,174.0,-2.416831,0.614674,0.4030437,-0.4826123,-0.0773324,-10.26379,3
359863497.0,-0.72,-0.27,9.03,2.72,353.46,326.6,0.28,0.28,162.0,174.0,174.0,1.635196,-1.888098,0.3811995,-0.4734995,0.00946468,-10.03251,3
359913477.0,-0.57,-0.18,9.255,1.74,353.295,326.465,0.28,0.28,162.0,174.0,174.0,-0.403907,2.456448,0.3537838,-0.6032696,-0.02282233,-10.12094,3
359963457.0,-0.42,-0.09,9.48,0.76,353.13,326.33,0.28,0.28,162.0,174.0,174.0,2.159406,1.140796,0.2866117,-0.5809395,0.0473555,-10.00131,3
359963457.0,-0.42,-0.09,9.48,0.76,353.13,326.33,0.28,0.28,162.0,174.0,174.0,-0.9719762,-2.302723,0.3181456,-0.5353444,-0.02341975,-10.01401,3
360013437.0,0.21,-0.06,9.545,0.39,353.025,326.185,0.275,0.275,162.0,174.5,174.5,-2.432537,0.2207844,0.2762798,-0.6763273,-0.00886947,-10.17806,3
360063417.0,0.84,-0.03,9.61,0.02,352.92,326.04,0.27,0.27,162.0,175.0,175.0,1.847438,-1.689723,0.2479997,-0.7295414,-0.01163571,-9.948996,3
